tick,RTM,RTM45C,RTM45P,RTM46C,RTM46P,RTM47C,RTM47P,RTM48C,RTM48P,RTM49C,RTM49P,RTM50C,RTM50P,RTM51C,RTM51P,RTM52C,RTM52P,RTM53C,RTM53P,RTM54C,RTM54P
600,51.77,6.78,0.02,5.78,0.02,4.78,0.02,3.78,0.02,2.78,0.02,1.78,0.02,0.86,0.08,0.24,0.47,0.03,1.26,0.02,2.23
599,51.79,6.78,0.02,5.78,0.02,4.78,0.02,3.78,0.02,2.78,0.02,1.78,0.02,0.86,0.08,0.24,0.47,0.03,1.26,0.02,2.23
598,51.64,6.63,0.02,5.63,0.02,4.63,0.02,3.63,0.02,2.63,0.02,1.63,0.02,0.74,0.11,0.19,0.56,0.02,1.39,0.02,2.37
597,51.71,6.72,0.02,5.72,0.02,4.72,0.02,3.72,0.02,2.72,0.02,1.73,0.02,0.81,0.09,0.22,0.5,0.03,1.31,0.02,2.28
596,51.52,6.53,0.02,5.53,0.02,4.53,0.02,3.53,0.02,2.53,0.02,1.54,0.02,0.68,0.15,0.16,0.63,0.02,1.49,0.02,2.47
595,51.54,6.55,0.02,5.55,0.02,4.55,0.02,3.55,0.02,2.55,0.02,1.56,0.02,0.68,0.14,0.15,0.61,0.02,1.47,0.02,2.46
594,51.57,6.57,0.02,5.57,0.02,4.57,0.02,3.57,0.02,2.57,0.02,1.58,0.02,0.7,0.13,0.17,0.6,0.02,1.45,0.02,2.43
593,51.48,6.48,0.02,5.48,0.02,4.48,0.02,3.48,0.02,2.48,0.02,1.49,0.02,0.64,0.17,0.16,0.68,0.02,1.54,0.02,2.52
592,51.71,6.71,0.02,5.71,0.02,4.71,0.02,3.71,0.02,2.71,0.02,1.72,0.02,0.83,0.12,0.24,0.54,0.04,1.33,0.02,2.3
591,51.97,6.97,0.02,5.97,0.02,4.97,0.02,3.97,0.02,2.97,0.02,1.98,0.02,1.05,0.08,0.38,0.4,0.08,1.1,0.02,2.03
590,51.81,6.81,0.02,5.81,0.02,4.81,0.02,3.81,0.02,2.81,0.02,1.82,0.02,0.92,0.11,0.3,0.49,0.05,1.24,0.02,2.19
589,51.84,6.84,0.02,5.84,0.02,4.84,0.02,3.84,0.02,2.84,0.02,1.85,0.02,0.94,0.1,0.31,0.47,0.05,1.22,0.02,2.17
588,52.24,7.24,0.02,6.24,0.02,5.24,0.02,4.24,0.02,3.24,0.02,2.24,0.02,1.28,0.04,0.51,0.27,0.12,0.88,0.02,1.77
587,52.43,7.43,0.02,6.43,0.02,5.43,0.02,4.43,0.02,3.43,0.02,2.43,0.02,1.46,0.03,0.64,0.21,0.17,0.74,0.02,1.59
586,52.46,7.46,0.02,6.46,0.02,5.46,0.02,4.46,0.02,3.46,0.02,2.46,0.02,1.48,0.02,0.65,0.19,0.16,0.71,0.02,1.56
585,52.43,7.43,0.02,6.43,0.02,5.43,0.02,4.43,0.02,3.43,0.02,2.43,0.02,1.46,0.03,0.65,0.21,0.18,0.74,0.03,1.59
584,52.45,7.45,0.02,6.45,0.02,5.45,0.02,4.45,0.02,3.45,0.02,2.45,0.02,1.48,0.03,0.66,0.21,0.18,0.73,0.03,1.58
583,52.38,7.38,0.02,6.38,0.02,5.38,0.02,4.38,0.02,3.38,0.02,2.38,0.02,1.41,0.03,0.61,0.23,0.16,0.78,0.02,1.64
582,52.17,7.17,0.02,6.17,0.02,5.17,0.02,4.17,0.02,3.17,0.02,2.18,0.02,1.22,0.05,0.48,0.31,0.11,0.94,0.02,1.84
581,52.16,7.16,0.02,6.16,0.02,5.16,0.02,4.16,0.02,3.16,0.02,2.17,0.02,1.22,0.05,0.48,0.31,0.11,0.94,0.02,1.85
580,52.14,7.13,0.02,6.13,0.02,5.13,0.02,4.13,0.02,3.13,0.02,2.14,0.02,1.19,0.06,0.47,0.34,0.11,0.98,0.02,1.88
579,52.16,7.15,0.02,6.15,0.02,5.15,0.02,4.15,0.02,3.15,0.02,2.15,0.02,1.2,0.06,0.47,0.33,0.11,0.96,0.02,1.87
578,51.82,6.83,0.02,5.83,0.02,4.83,0.02,3.83,0.02,2.83,0.02,1.84,0.02,0.92,0.09,0.29,0.46,0.05,1.22,0.02,2.17
577,51.9,6.91,0.02,5.91,0.02,4.91,0.02,3.91,0.02,2.91,0.02,1.92,0.02,1.0,0.09,0.34,0.43,0.06,1.15,0.02,2.09
576,51.86,6.85,0.02,5.85,0.02,4.85,0.02,3.85,0.02,2.85,0.02,1.86,0.02,0.95,0.1,0.32,0.48,0.06,1.21,0.02,2.16
575,51.94,6.93,0.02,5.93,0.02,4.93,0.02,3.93,0.02,2.93,0.02,1.93,0.02,1.02,0.09,0.36,0.44,0.07,1.15,0.02,2.08
574,51.88,6.89,0.02,5.89,0.02,4.89,0.02,3.89,0.02,2.89,0.02,1.9,0.02,1.01,0.12,0.37,0.49,0.08,1.2,0.02,2.12
573,51.63,6.64,0.02,5.64,0.02,4.64,0.02,3.64,0.02,2.64,0.02,1.66,0.02,0.81,0.17,0.26,0.63,0.05,1.41,0.02,2.37
572,51.79,6.8,0.02,5.8,0.02,4.8,0.02,3.8,0.02,2.8,0.02,1.82,0.02,0.94,0.14,0.33,0.53,0.07,1.27,0.02,2.21
571,51.96,6.95,0.02,5.95,0.02,4.95,0.02,3.95,0.02,2.96,0.02,1.97,0.02,1.07,0.11,0.41,0.46,0.1,1.15,0.02,2.06
570,52.08,7.09,0.02,6.09,0.02,5.09,0.02,4.09,0.02,3.09,0.02,2.1,0.02,1.18,0.09,0.49,0.4,0.13,1.05,0.02,1.93
569,52.37,7.37,0.02,6.37,0.02,5.37,0.02,4.37,0.02,3.38,0.02,2.41,0.04,1.54,0.17,0.84,0.47,0.38,1.01,0.14,1.77
568,52.61,7.6,0.02,6.6,0.02,5.6,0.02,4.61,0.02,3.61,0.02,2.63,0.03,1.73,0.12,0.97,0.37,0.45,0.85,0.17,1.56
567,52.52,7.51,0.02,6.51,0.02,5.51,0.02,4.51,0.02,3.51,0.02,2.54,0.03,1.64,0.14,0.91,0.41,0.42,0.91,0.15,1.64
566,52.36,7.36,0.02,6.36,0.02,5.36,0.02,4.36,0.02,3.37,0.02,2.4,0.04,1.52,0.16,0.81,0.45,0.35,0.99,0.12,1.76
565,52.24,7.24,0.02,6.24,0.02,5.24,0.02,4.24,0.02,3.24,0.02,2.28,0.04,1.41,0.17,0.73,0.49,0.3,1.06,0.1,1.86
564,52.26,7.26,0.02,6.26,0.02,5.26,0.02,4.26,0.02,3.26,0.02,2.3,0.04,1.42,0.16,0.73,0.47,0.3,1.04,0.1,1.84
563,52.32,7.32,0.02,6.32,0.02,5.32,0.02,4.32,0.02,3.32,0.02,2.35,0.04,1.47,0.16,0.78,0.46,0.33,1.01,0.11,1.79
562,52.33,7.33,0.02,6.33,0.02,5.33,0.02,4.33,0.02,3.33,0.02,2.37,0.04,1.48,0.15,0.78,0.45,0.33,1.0,0.11,1.78
561,52.3,7.31,0.02,6.31,0.02,5.31,0.02,4.31,0.02,3.32,0.02,2.35,0.04,1.47,0.16,0.77,0.46,0.33,1.01,0.11,1.79
