tick,RTM,RTM45C,RTM45P,RTM46C,RTM46P,RTM47C,RTM47P,RTM48C,RTM48P,RTM49C,RTM49P,RTM50C,RTM50P,RTM51C,RTM51P,RTM52C,RTM52P,RTM53C,RTM53P,RTM54C,RTM54P
600,53.04,8.08,0.02,7.08,0.02,6.08,0.02,5.08,0.02,4.08,0.02,3.08,0.02,2.09,0.02,1.17,0.09,0.47,0.39,0.12,1.04
599,53.08,8.08,0.02,7.08,0.02,6.08,0.02,5.08,0.02,4.08,0.02,3.08,0.02,2.09,0.02,1.17,0.09,0.47,0.38,0.13,1.04
598,53.16,8.15,0.01,7.15,0.02,6.15,0.02,5.15,0.02,4.15,0.02,3.15,0.02,2.16,0.02,1.23,0.08,0.52,0.37,0.13,1.01
597,53.08,8.09,0.02,7.09,0.02,6.09,0.02,5.09,0.02,4.09,0.02,3.09,0.02,2.11,0.02,1.19,0.1,0.51,0.41,0.14,1.05
596,53.5,8.49,0.01,7.49,0.02,6.49,0.02,5.49,0.02,4.49,0.02,3.49,0.02,2.49,0.02,1.53,0.05,0.72,0.24,0.23,0.77
595,53.57,8.59,0.02,7.58,0.02,6.58,0.02,5.58,0.02,4.58,0.02,3.58,0.02,2.59,0.02,1.63,0.05,0.81,0.22,0.29,0.71
594,53.59,8.58,0.01,7.58,0.02,6.58,0.02,5.58,0.02,4.58,0.02,3.58,0.02,2.58,0.02,1.62,0.04,0.81,0.23,0.27,0.71
593,53.54,8.54,0.02,7.54,0.02,6.54,0.02,5.54,0.02,4.54,0.02,3.54,0.02,2.55,0.02,1.59,0.04,0.78,0.23,0.27,0.72
592,53.32,8.32,0.01,7.32,0.02,6.32,0.02,5.32,0.02,4.32,0.02,3.32,0.02,2.33,0.02,1.38,0.06,0.62,0.29,0.17,0.87
591,53.13,8.13,0.02,7.13,0.02,6.13,0.02,5.13,0.02,4.13,0.02,3.13,0.02,2.14,0.02,1.22,0.09,0.52,0.38,0.15,1.03
590,53.06,8.06,0.01,7.06,0.02,6.06,0.02,5.06,0.02,4.06,0.02,3.06,0.01,2.08,0.02,1.16,0.11,0.49,0.43,0.13,1.08
